/content/trainingproject/en/products,Products,/apps/trainingproject/templates/page-home,/etc/tags/we-retail/apparel,TRUE
/content/trainingproject/en/products/women,Women,,/etc/tags/we-retail/gender/women,TRUE
/content/trainingproject/en/products/women/coats,Coats,/apps/trainingproject/templates/coats,/etc/tags/we-retail/apparel/coat,TRUE
/content/trainingproject/en/products/women/coats/raincoat,Rain Coats,/apps/trainingproject/templates/coats,/etc/tags/we-retail/apparel/coat,
/content/trainingproject/en/products/women/coats/insulated,Insulated Coats,/apps/trainingproject/templates/coats,/etc/tags/we-retail/apparel/coat,
/content/trainingproject/en/products/women/shirts,Shirts,,/etc/tags/we-retail/apparel/shirt,TRUE
,T-shirts,,/etc/tags/we-retail/apparel/shirt,
,Polo Shirts,,/etc/tags/we-retail/apparel/shirt,
/content/trainingproject/en/products/women/pants,Pants,,/etc/tags/we-retail/apparel/jeans,TRUE
/content/trainingproject/en/products/women/pants/jeans,Jeans,,/etc/tags/we-retail/apparel/jeans,
/content/trainingproject/en/products/women/pants/stretchypants,Stretchy Pants,,/etc/tags/we-retail/apparel/jeans,
/content/trainingproject/en/products/women/shorts,Shorts,,/etc/tags/we-retail/apparel/shorts,TRUE
/content/trainingproject/en/products/women/shorts/khakis,Khaki Shorts,,/etc/tags/we-retail/apparel/shorts,
/content/trainingproject/en/products/women/shorts/jeans,Jean Shorts,,/etc/tags/we-retail/apparel/shorts,
